Question,Answer
사법제도 및 소송법 장르에서 인기 있는 도서는 무엇인가요?,"사법제도 및 소송법 장르에서 인기 있는 도서는 (바로미와 함께하는) 좌충우돌 재판이야기, 검사내전, 셜록 홈스 과학수사 클럽, 친애하는 나의 민원인 :'외곽주의자' 검사가 바라본 진실 너머의 풍경들 , 사람이 싫다 :손수호 변호사의 진짜 변호사 이야기 , (송사무장의) 실전 경매 :경매의 기술 ll , (송사무장의 실전) 경매의 기술, 검찰수사관 내전:검찰수사관의 ""13년 만에 쓰는 편지"", 경매 권리분석 이렇게 쉬웠어?:생초보도 할 수 있는 초간단 권리 분석법 대공개!, 경매 권리분석 이렇게 쉬웠어?:생초보도 할 수 있는 초간단 권리분석법 대공개 입니다."
"청소년(14~19세), 여에서 인기 있는 도서는 무엇인가요?","청소년(14~19세), 여에서 인기 있는 도서는 (설민석의) 세계사 대모험, 별을 잇는 손, 리얼 마래, 음유시인 비들 이야기, 슈퍼 히어로 학교, (한 손에 잡히는) 생명윤리:난자 매매부터 유전자 특허까지, 퀴디치의 역사, 발칙한 수학여행:박현숙 장편 소설, Detective adventure 입니다."
수필 장르에서 인기 있는 도서는 무엇인가요?,"수필 장르에서 인기 있는 도서는 한 길 사람 속, 딸에게 주는 레시피:공지영 에세이, 새는 날아가면서 뒤돌아보지 않는다, 요코 씨의 말, 그럼에도 불구하고 :공지영의 섬진 산책 , 월든, 나는 아직도 스님이 되고 싶다, 모래알만 한 진실이라도 :박완서 에세이 , 오래 준비해온 대답:김영하의 시칠리아, 읽다:김영하 산문:김영하와 함께하는 여섯 날의 문학 탐사 입니다."
"위생, 도시, 환경공학 장르에서 인기 있는 도서는 무엇인가요?","위생, 도시, 환경공학 장르에서 인기 있는 도서는 내가 조금 불편하면 세상은 초록이 돼요:지구를 지키는 어린이들의 환경 실천법 50, 투발루에게 수영을 가르칠 걸 그랬어!, 무지개 도시를 만드는 초록 슈퍼맨:세상을 바꾸는 시민의 힘, 내가 지구를 사랑하는 방법:어린이를 위한 첫 환경그림책, 거인에 맞선 소녀, 그레타, 고래를 삼킨 바다 쓰레기 , 북극곰이 사라진다면, 재활용, 쓰레기를 다시 쓰는 법, 멋진 지구인이 될거야, 생태 통로:인간이 만든 동물의 길[스트리밍] 입니다."
농업기초학 장르에서 인기 있는 도서는 무엇인가요?,"농업기초학 장르에서 인기 있는 도서는 GMO:유전자 조작 식품은 안전할까?, 발밑의 혁명, 흙, 아는 만큼 베푼다 입니다."
로마 장르에서 인기 있는 도서는 무엇인가요?,"로마 장르에서 인기 있는 도서는 로마 황제 열전 :제국을 이끈 10인의 카이사르 , 로마인 이야기, 로마제국 쇠망사, 고대 로마 속으로, 고대 로마인의 생각과 힘, (시오노 나나미의) 국가와 역사, (카이사르의)갈리아 전쟁기, 나의 로망, 로마:여행자를 위한 인문학, 로마 역사의 길을 걷다 :건국 신화에서 로마 제국의 멸망까지 , 시간여행자를 위한 고대 로마 안내서 입니다."
생물과학 장르에서 인기 있는 도서는 무엇인가요?,"생물과학 장르에서 인기 있는 도서는 의외로 유쾌한 생물도감, 왜 하고 물으면 과학이 답해요:생명 과학, (세포 짠 DNA 쏙) 북적북적 생명 과학 수업, 랩걸:나무,과학 그리고 사랑, 열심히 일하는 세포, 몸속의 영웅과 악당, 자연사 박물관:생명 관찰 실험실, 학교 뒷산에 오솔길이 있어, (이런 모습 처음이야!)의외로 유쾌한 생물도감, 똑똑해도 너무 똑똑한 유전자 입니다."
금융 장르에서 인기 있는 도서는 무엇인가요?,"금융 장르에서 인기 있는 도서는 존리의 부자되기 습관:대한민국 경제독립 액션 플랜, 내일의 부:세상에서 가장 빨리 99.9% 부자 되는 법!, 부의 인문학:슈퍼리치의 서재에서 찾아낸 부자의 길, 부의 추월차선:부자들이 말해 주지 않는 진정한 부를 얻는 방법, 부의 본능:슈퍼리치가 되는 9가지 방법, 레버리지:자본주의 속에 숨겨진 부의 비밀, 대한민국 청약지도:한 권으로 끝내는 청약 당첨 전략의 모든 것, 부자언니 부자연습:가난한 공주 부자되기 프로젝트, 월급쟁이 부자로 은퇴하라, 나는 독서 재테크로 월급 말고 매년 3천만원 번다 입니다."
"50대, 여에서 인기 있는 도서는 무엇인가요?","50대, 여에서 인기 있는 도서는 사소한 변화, 혼자라는 건, 50 이후, 인생을 결정하는 열 가지 힘, 해리:공지영 장편소설, 경성 탐정 사무소:박하민 장편소설, 오빠가 돌아왔다 :김영하 소설 , 50, 인생관을 확 바꿔야 산다, 한 길 사람 속, (분야별로 배우는) 시사영단어 입니다."
시스템 장르에서 인기 있는 도서는 무엇인가요?,"시스템 장르에서 인기 있는 도서는 블랙 스완:위험 가득한 세상에서 안전하게 살아남기, 마스터 알고리즘:머신러닝은 우리의 미래를 어떻게 바꾸는가, 블랙 스완:0.1%가 모든 것을 바꾼다, 뇌를 바꾼 공학 공학을 바꾼 뇌:뇌공학의 현재와 미래 입니다."
독서 및 정보매체의 이용 장르에서 인기 있는 도서는 무엇인가요?,"독서 및 정보매체의 이용 장르에서 인기 있는 도서는 공부머리 독서법:실현 가능하고 지속 가능한 독서교육의 모든 것, 아홉 살 독서 수업:부모가 알아야 할 초등 저학년 독서의 모든 것, (공부 천재가 알려 주는) 평생 도움 초등 독서법, (상위 1% 아이가 하고 있는)서울대 아빠식 문해력 독서법:독서법부터 다른 영재원 과학고 아이들의 비밀, (어린이를 위한) 진짜 공부머리 독서법, 기적의 초등 독서법, 초등공부, 독서로 시작해 글쓰기로 끝내라, 그 집 아들 독서법:사교육 중심지 대치동에서 '독서'로 살아남은 브릭 독서의 비밀, 다시, 초등 고전읽기 혁명, (초등 3, 4학년에 시작하는)하루 20분 초등 고전 읽기:공부머리, 사고머리를 키우는 진짜 독서 습관  입니다."
철학의 체계 장르에서 인기 있는 도서는 무엇인가요?,철학의 체계 장르에서 인기 있는 도서는 필로소피 랩:내 삶을 바꾸는 오늘의 철학 연구소 입니다.
"경전(불전, 대장경) 장르에서 인기 있는 도서는 무엇인가요?","경전(불전, 대장경) 장르에서 인기 있는 도서는 (근심 걱정이 사라지고 인생이 편안해지는) 반야심경 마음공부 , 다라니 수행 :신묘장구대다라니경 강설 , (우화로 읽는) 팔만대장경 , (한국인이 가장 좋아하는) 경전구절 , 그대 삶이 경전이다 :선으로 본 금강경 , 뇌는 바보다:마음의 실체를 찾아서, 어린이 팔만대장경 , 연잎에 맺히는 이슬처럼 입니다."
종교철학 및 종교사상 장르에서 인기 있는 도서는 무엇인가요?,"종교철학 및 종교사상 장르에서 인기 있는 도서는 믿는 인간에 대하여:라틴어 수업, 두 번째 시간, 거대한 신, 우리는 무엇을 믿는가:신은 인간을 선하게 만드는가 악하게 만드는가, 종교의 책:인간의 신앙을 이해하는 위대한 종교학의 성찰들 입니다."
"지도법, 연구법 및 교육, 교육자료 장르에서 인기 있는 도서는 무엇인가요?","지도법, 연구법 및 교육, 교육자료 장르에서 인기 있는 도서는 내일은 실험왕, (유튜브보다 더 재미있는) 엄마표 과학 놀이터:초등학생이 꼭 알아야 할 과학놀이 50가지, 초등 과학 실험 대백과, (웃기지만 진지한) 초간단 과학 실험 70, (유튜브보다 더 재미있는) 어린이 과학 놀이터:초등학생이 꼭 알아야 할 과학놀이 50가지, (유튜브보다 더 재미있는) 초등과학실험, (초등학생을 위한) 요리 과학 실험실:과학 개념이 한입에 쏙 들어오는 탐구활동 교과서, (유튜브보다 더 재미있는) 어린이 과학 실험:최신 개정교육과정과 연계한 재미있는 초등 과학실험 50가지, 내일은 실험왕:본격 대결 과학실험 만화, (아이와 함께)먹고 즐기는 과학실험:가족과 함께 부엌에서 할 수 있는 재미있는 실험 입니다."
북아프리카 장르에서 인기 있는 도서는 무엇인가요?,"북아프리카 장르에서 인기 있는 도서는 (요리조리 열어 보는) 이집트와 피라미드, 톰을 찾아라!:고대 이집트, (품위 있고 매혹적인) 고대 이집트, 톰을 찾아라!, 이집트에서 24시간 살아보기:3000년 전 사람들의 일상으로 보는 진짜 이집트 문명 이야기 입니다."
대중연예 장르에서 인기 있는 도서는 무엇인가요?,"대중연예 장르에서 인기 있는 도서는 마술 잘하는 50가지 비밀, (I can do it)카드 매직 46, 지금 멈추면 스포트라이트는 없다 :포미닛처럼 꿈꾸고 비스트처럼 도전하라!  입니다."
"유아(6~7세), 여에서 인기 있는 도서는 무엇인가요?","유아(6~7세), 여에서 인기 있는 도서는 케이크가 커졌어요! , 번개 세수, 이름 없는 고양이, (뽀롱뽀롱 뽀로로) 뽀로로와 마법 나라, Fancy Nancy splendid speller, 버스를 타요, Fancy Nancy the dazzling book report, Little owl lost, Dora's dance show 입니다."
"정치, 경제, 사회, 문화사정, 역사 장르에서 인기 있는 도서는 무엇인가요?","정치, 경제, 사회, 문화사정, 역사 장르에서 인기 있는 도서는 남북탐구생활, 젊은이가 돌아오는 마을:인구감소 시대 마을 생존법, 리얼:하다 :가식적이지 않고 당당해서 행복한 뉴요커 라이프 에세이 , 반일 종족주의:대한민국 위기의 근원, 우리는 미래에 조금 먼저 도착했습니다:북유럽 사회가 행복한 개인을 키우는 방법, 그러니까, 영국:유쾌하고 사소한 영국 인문학 여행, 지금은 베트남을 읽을 시간:교사들이 제안하는 베트남 바로알기, 싱가포르 유리벽 안에서 행복한 나라, 아베는 누구인가:아베 정권의 심층과 동아시아, 일본의 굴레 :헤이안 시대에서 아베 정권까지, 타인의 눈으로 안에서 통찰해낸 일본의 빛과 그늘  입니다."
고대병법 장르에서 인기 있는 도서는 무엇인가요?,"고대병법 장르에서 인기 있는 도서는 병서, 조선을 말하다:혼란과 저항의 조선사 입니다."
직물 및 섬유공업 장르에서 인기 있는 도서는 무엇인가요?,"직물 및 섬유공업 장르에서 인기 있는 도서는 (총보다 강한) 실:실은 어떻게 역사를 바꿨나, (총보다 강한)실:실은 어떻게 역사를 바꿨나 입니다."
사회사상 장르에서 인기 있는 도서는 무엇인가요?,"사회사상 장르에서 인기 있는 도서는 공산당 선언, 북유럽 사회민주주의 모델 입니다."
한글서법 장르에서 인기 있는 도서는 무엇인가요?,한글서법 장르에서 인기 있는 도서는 나의 독립 :독립운동가의 시와 말씀을 글씨로 보다  입니다.
"기독교신학, 교의학(조직신학) 장르에서 인기 있는 도서는 무엇인가요?","기독교신학, 교의학(조직신학) 장르에서 인기 있는 도서는 나는 영생을 믿는다:위르겐 몰트만 박사의 마지막 저서 , 십자가와 초승달, 천년의 공존:그리스도교와 이슬람의 극적인 초기 교류사, 구마 사제:악령과 싸우는 자, 유인력 끌어당김의 법칙 :영원한 3가지 우주법칙 , 한컷만화 기독교 진리 130:한 페이지에 한가지 주제를 한컷만화에 담았다, (데이비드 노글이 정리해 주는) 세계관 그 개념의 역사, (물을 건 묻자)청춘을 위한 기독교 변증 , (슬픈) 예수:세상의 고통을 없애는 저항의 길, 3분 :소년의 3분은 천상의 시간이었다 , 기독교의 기본 진리:50주년 기념판! 입니다."
"계보, 족보 장르에서 인기 있는 도서는 무엇인가요?","계보, 족보 장르에서 인기 있는 도서는 (진짜 진짜 재밌는) 국기 그림책:그림으로 배우는 신기한 지식 백과, 세계의 상징, 깃발:깃발이 들려주는 역사와 문화 이야기, (나의 첫) 세계 국기 사전 =My first world flags dictionary :196개 나라 , 세계의 국기는 어떻게 만들었을까?, 태극기가 궁금해, 국기는 재미있다:국기를 알면 세계가 보여요!, 태극기 다는 날 , 구석구석 세계 국기 백과:195개 나라의 역사와 문화가 쏙쏙!, 모두의 태극기, (보고 또 보는) 국기 백과  입니다."
"공학, 공업일반  장르에서 인기 있는 도서는 무엇인가요?","공학, 공업일반  장르에서 인기 있는 도서는 (세계사를 바꾼) 12가지 신소재, 너도 엔지니어가 되고 싶니?, 세계 시장을 주도할 크로스 테크놀로지 100:융합과 재생으로 4차 산업혁명을 이끄는 신기술들, 10대에게 권하는 공학:학교에서 가르치지 않는 공학의 쓸모:사람과 사회에 도움이 되는 학문 공학의 가치에 대해 알려 주다, 미래과학, (세계사를 바꾼)12가지 신소재, 공학의 명장면 12:페니실린에서 월드 와이드 웹까지, (처음 읽는) 플랜트 엔지니어링 이야기 , 공학자의 시간 여행:포기하지 않는 사람이 이기는 거야!, 소재, 인류와 만나다 :인간이 찾아내고 만들어온 모든 소재 이야기  입니다."
연구법 및 교육지도법 장르에서 인기 있는 도서는 무엇인가요?,"연구법 및 교육지도법 장르에서 인기 있는 도서는 내일은 발명왕:본격 대결 과학발명 만화, 발명왕 토리즈의 고민상담소, 내일은 발명왕:본격 대결 과학 발명 만화, 발명의 역사, (발명왕 토리즈의) 고민상담소:창의융합인재를 위한 상상력 놀이터, 레오나르도 다빈치의 위대한 발명품 40, 기상천외 발명백과:나는 발명한다, 고로 존재한다!, 더 좋은 세상을 만든 착한 발명, 위대한 발명의 실수투성이 역사, 세상을 바꾼 천재들의 100가지 아이디어 입니다."
북아메리카 인디안문학 장르에서 인기 있는 도서는 무엇인가요?,북아메리카 인디안문학 장르에서 인기 있는 도서는 인디언의 영혼 입니다.
재배 및 보호 장르에서 인기 있는 도서는 무엇인가요?,"재배 및 보호 장르에서 인기 있는 도서는 (초등학생이 알아야 할)지구 환경과 기후 변화 100가지, 작지만 대단한 씨앗, 세상을 바꾼 씨앗:씨앗으로 보는 지구와 인류의 역사, 세계의 끝 씨앗 창고 :스발바르 국제종자저장고 이야기 , 씨앗 100개가 어디로 갔을까, (KBS 스페셜)종자 세계를 지배하다:종자는 누가 소유하는가, 질병의탄생:우리는 왜, 어떻게 질병에 걸리는가 입니다."
경제정책 장르에서 인기 있는 도서는 무엇인가요?,"경제정책 장르에서 인기 있는 도서는 돈과 나:자본주의 속에서 길을 잃지 않기 위해, 자본주의 리얼리즘:대안은 없는가, 자본주의 미래 보고서:빚으로 산 성장의 덫, 그 너머 희망을 찾아서, Dreamers, 시장, 세상을 균형 있게 보는 눈:시장경제를 알면 보이는 것들, 메뚜기와 꿀벌:약탈과 창조, 자본주의의 두 얼굴, 한국의 시간 :제2차 대분기 경제 패권의 대이동 :first mover takes all , (EBS 다큐프라임) 자본주의:국내외 32명의 석학이 밝히는 인문학적 보고서, 착한 민영화는 없다, 자본주의 논쟁 입니다."
미술사 장르에서 인기 있는 도서는 무엇인가요?,"미술사 장르에서 인기 있는 도서는 다락방 미술관:그림 속 숨어있는 이야기, (어린이를 위한) 서양 미술사 100, 세상을 들썩인 거대한 쇳덩이, 에펠탑, (5일 만에 끝내는) 서양미술사, (난생 처음 한번 공부하는) 미술 이야기, 너무 재밌어서 잠 못 드는 미술 이야기, 세상에서 가장 행복한 그림, (읽기만 하면 내 것이 되는)1페이지 미술365, (진중권의) 서양미술사, 김찬용의 아트 내비게이션 =Art navigation :대한민국 1호 전시해설가와 함께하는 짜릿한 미술사 여행 :인상파부터 현대미술까지, 최단 거리 미술사 여행  입니다."
전산학 장르에서 인기 있는 도서는 무엇인가요?,"전산학 장르에서 인기 있는 도서는 (스마트폰 하나로 끝내는) 유튜브 크리에이터 되기, 스마트폰으로 유튜브 정복하기, 인공지능 세계에서 살아남기, 인공지능, 내 친구를 구해 줘, (비전공자를 위한 이해할 수 있는) IT 지식 , 궁금했어, 인공지능, 수상한 인공지능:AI는 세상을 어떻게 바꿀까?, 엉덩이로 자동차 시동을 건다고?:우리 몸의 비밀번호, 생체 인식의 모든 것, (그림과 이야기로 쉽게 배우는) 소프트웨어와 코딩 첫걸음, (신문이 보이고 뉴스가 들리는 재미있는) 인공지능 이야기 입니다."
오류 장르에서 인기 있는 도서는 무엇인가요?,"오류 장르에서 인기 있는 도서는 논리로 보는 패러독스 패러독스로 배우는 논리, 합리적 사고를 방해하는 64가지 오류  입니다."
라마교 장르에서 인기 있는 도서는 무엇인가요?,"라마교 장르에서 인기 있는 도서는 (달라이 라마가 전하는) 우리가 명상할 때 꼭 알아야 할 것들, 가둘 수 없는 영혼:팔덴 갸초 자서전, 달라이 라마가 전하는 우리가 명상할 때 꼭 알아야 할 것들:명상의 기본과 핵심에 대하여 입니다."
국제법 장르에서 인기 있는 도서는 무엇인가요?,"국제법 장르에서 인기 있는 도서는 (세계를 움직이는)국제기구:어린이의 꿈을 키워 주는 열일곱 가지 국제기구 이야기:6학년 사회교과 연계도서, (세계를 바꾸는) 착한 국제조약 이야기, UN, It's my world :유엔과 국제기구를 꿈꾸는 인재들을 위한 최신 유엔 가이드북 , 인간의 정의는 어떻게 탄생했는가, (세계를 바꾸는)착한 국제 조약 이야기, 우리나라 곳곳에 너의 손길이 필요해 , 평화를 꿈꾸는 곳 유엔으로 가자  입니다."
사서 장르에서 인기 있는 도서는 무엇인가요?,"사서 장르에서 인기 있는 도서는 열 살, 논어를 만나다, (처음 만나는) 논어, 오십에 읽는 논어 :굽이치는 인생을 다잡아 주는 공자의 말 , 논어 들고 나타난 공자 귀신, 살면서 한번은 논어:나의 첫 『논어』 읽기, 나는 불안할 때 논어를 읽는다 :불안함이 요동치는 인생을 위로할 최고의 고전! , 우리가 간신히 희망할 수 있는 것:김영민 논어 에세이, 교양인의 논어:인류의 스승 공자의 모든 것, 도올 만화논어, 위험한 논어  입니다."
사회문제 장르에서 인기 있는 도서는 무엇인가요?,"사회문제 장르에서 인기 있는 도서는 공정하다는 착각:능력주의는 모두에게 같은 기회를 제공하는가, 선량한 차별주의자, (움츠러들지 않고 용기있게) 딸 성교육 하는 법, 아홉 살 성교육 사전, 죽은 자의 집 청소, 아픔이 길이 되려면:정의로운 건강을 찾아 질병의 사회적 책임을 묻다, 지키지 말아야 할 비밀, 슬픈 노벨상, 타인의 고통, 가난한 사람은 왜 생길까요?:처음 이야기해 보는 세계의 빈곤 문제 입니다."
지학 장르에서 인기 있는 도서는 무엇인가요?,"지학 장르에서 인기 있는 도서는 (어린왕자가 사랑한 지구의) 낮과 밤, 흙보다 더 오래된 지구:놀랍고도 신기한 지구의 진짜 역사, 우리가 사는 지구의 비밀, 이상하게 재밌는 지구과학:어렵고 따분한 과학책은 지구에서 사라져라!, 우리땅 지질 여행, 사소한 질문들, 파헤쳐 봐, 단단한 땅을, 안녕! 지구인, 너무 재밌어서 잠 못 드는 지구의 과학, 지구 100 입니다."
원예 장르에서 인기 있는 도서는 무엇인가요?,"원예 장르에서 인기 있는 도서는 토마토 채소일까 과일일까, 사과, 토마토, 그린 인테리어 교과서:좋아하는 식물 하나만 두어도 인테리어가 된다, 바나나가 정말 없어진다고?, 초록의 집:날마다 새로움을 주는 정원이 있는 집과 조경, 산타벨라처럼 쉽게 화초 키우기, 선인장도 말려 죽이는 그대에게, 호두네 정원:함께 가꾸는 사계절 텃밭 정원 이야기, (테이블 위) 작은 정원 입니다."
